lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-12-05 17:16:20.295556,,,,,,,,,,,,,,
,2023-12-05 17:16:21.159462,0.03399823606014252,0.00013457858585752547,0.03399823606014252,49.0,0.0,,,,,,,,,
0.02,2023-12-05 17:17:03.667746,,,,,,,,,,,,,,
,2023-12-05 17:17:04.534407,0.3622528314590454,0.02061690390110016,0.3622528314590454,99.0,0.0,,,,,,,,,
0.02,2023-12-05 17:17:47.160813,,,,,,,,,,,,,,
,2023-12-05 17:17:48.030472,0.4529798924922943,0.003521396778523922,0.4529798924922943,149.0,0.0,,,,,,,,,
0.02,2023-12-05 17:18:30.640008,,,,,,,,,,,,,,
,2023-12-05 17:18:31.507316,0.14015939831733704,0.0009646413382142782,0.14015939831733704,199.0,0.0,,,,,,,,,
0.02,2023-12-05 17:19:14.154330,,,,,,,,,,,,,,
,2023-12-05 17:19:15.020957,0.07890103757381439,0.0002789752325043082,0.07890103757381439,249.0,0.0,,,,,,,,,
0.02,2023-12-05 17:19:57.687895,,,,,,,,,,,,,,
,2023-12-05 17:19:58.555749,0.19435341656208038,0.0011880124220624566,0.19435341656208038,299.0,0.0,,,,,,,,,
0.02,2023-12-05 17:20:41.222025,,,,,,,,,,,,,,
,2023-12-05 17:20:42.086558,0.2469833493232727,0.0015111430548131466,0.2469833493232727,349.0,0.0,,,,,,,,,
0.02,2023-12-05 17:21:24.763016,,,,,,,,,,,,,,
,2023-12-05 17:21:25.630210,0.28616344928741455,0.002092865062877536,0.28616344928741455,399.0,0.0,,,,,,,,,
,2023-12-05 17:21:55.292635,,,,,0.0,0.12546324729919434,0.0005838944343850017,0.12546324729919434,0.20618142187595367,0.0016247762832790613,0.20618142187595367,,,
,2023-12-05 17:21:55.301195,,,,,0.0,,,,,,,0.1845165640115738,0.002852577716112137,0.1845165640115738
0.02,2023-12-05 17:22:16.730982,,,,,,,,,,,,,,
,2023-12-05 17:22:17.597693,0.06414365023374557,0.00022503279615193605,0.06414365023374557,449.0,1.0,,,,,,,,,
0.02,2023-12-05 17:23:00.211596,,,,,,,,,,,,,,
,2023-12-05 17:23:02.760411,0.10177905857563019,0.000411429675295949,0.10177905857563019,499.0,1.0,,,,,,,,,
0.02,2023-12-05 17:25:56.504458,,,,,,,,,,,,,,
,2023-12-05 17:25:57.373244,0.17566442489624023,0.0010502556106075644,0.17566442489624023,549.0,1.0,,,,,,,,,
0.02,2023-12-05 17:26:40.022423,,,,,,,,,,,,,,
,2023-12-05 17:26:40.888130,0.08009909093379974,0.00027510657673701644,0.08009909093379974,599.0,1.0,,,,,,,,,
0.02,2023-12-05 17:27:23.589224,,,,,,,,,,,,,,
,2023-12-05 17:27:24.458143,0.4727007746696472,0.006477027200162411,0.4727007746696472,649.0,1.0,,,,,,,,,
0.02,2023-12-05 17:28:07.156040,,,,,,,,,,,,,,
,2023-12-05 17:28:08.020985,0.1708853840827942,0.0006921259919181466,0.1708853840827942,699.0,1.0,,,,,,,,,
0.02,2023-12-05 17:28:50.675396,,,,,,,,,,,,,,
,2023-12-05 17:28:51.543654,0.05723237618803978,0.0002090941707137972,0.05723237618803978,749.0,1.0,,,,,,,,,
0.02,2023-12-05 17:29:34.271738,,,,,,,,,,,,,,
,2023-12-05 17:29:35.143553,0.07473449409008026,0.00026151977363042533,0.07473449409008026,799.0,1.0,,,,,,,,,
0.02,2023-12-05 17:30:17.868214,,,,,,,,,,,,,,
,2023-12-05 17:30:18.730475,0.40580445528030396,0.00325090647675097,0.40580445528030396,849.0,1.0,,,,,,,,,
,2023-12-05 17:30:23.928410,,,,,1.0,0.13771702349185944,0.0005192748503759503,0.13771702349185944,0.07997170835733414,0.00037217960925772786,0.07997170835733414,,,
,2023-12-05 17:30:23.936648,,,,,1.0,,,,,,,0.18262289464473724,0.003660667221993208,0.18262289464473724
0.02,2023-12-05 17:31:07.105749,,,,,,,,,,,,,,
,2023-12-05 17:31:07.975761,0.1115371361374855,0.0004020450869575143,0.1115371361374855,899.0,2.0,,,,,,,,,
0.02,2023-12-05 17:31:50.638721,,,,,,,,,,,,,,
,2023-12-05 17:31:51.506241,0.12777870893478394,0.0004578178049996495,0.12777870893478394,949.0,2.0,,,,,,,,,
0.02,2023-12-05 17:32:34.205088,,,,,,,,,,,,,,
,2023-12-05 17:32:36.764133,0.28251031041145325,0.0019322761800140142,0.28251031041145325,999.0,2.0,,,,,,,,,
0.02,2023-12-05 17:35:26.568387,,,,,,,,,,,,,,
,2023-12-05 17:35:27.441355,0.27049440145492554,0.021573200821876526,0.27049440145492554,1049.0,2.0,,,,,,,,,
0.02,2023-12-05 17:36:10.199191,,,,,,,,,,,,,,
,2023-12-05 17:36:11.065851,0.059559181332588196,0.00021324347471818328,0.059559181332588196,1099.0,2.0,,,,,,,,,
0.02,2023-12-05 17:36:53.785943,,,,,,,,,,,,,,
,2023-12-05 17:36:54.653777,0.2092927098274231,0.00114692363422364,0.2092927098274231,1149.0,2.0,,,,,,,,,
0.02,2023-12-05 17:37:37.379783,,,,,,,,,,,,,,
,2023-12-05 17:37:38.248926,0.32526519894599915,0.0016037861350923777,0.32526519894599915,1199.0,2.0,,,,,,,,,
0.02,2023-12-05 17:38:20.988633,,,,,,,,,,,,,,
,2023-12-05 17:38:21.857109,0.14522264897823334,0.0005129573401063681,0.14522264897823334,1249.0,2.0,,,,,,,,,
,2023-12-05 17:38:48.915339,,,,,2.0,0.15808671712875366,0.0008089091279543936,0.15808671712875366,0.12232093513011932,0.000611901399679482,0.12232093513011932,,,
,2023-12-05 17:38:48.924414,,,,,2.0,,,,,,,0.1782642900943756,0.0024785823188722134,0.1782642900943756
0.02,2023-12-05 17:39:10.342068,,,,,,,,,,,,,,
,2023-12-05 17:39:11.210658,0.1728067547082901,0.0006219435017555952,0.1728067547082901,1299.0,3.0,,,,,,,,,
