lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-12-04 23:17:55.289070,,,,,,,,,,,,,,
,2023-12-04 23:17:56.152728,0.03399823233485222,0.00013457857130561024,0.03399823233485222,49.0,0.0,,,,,,,,,
0.02,2023-12-04 23:18:38.607410,,,,,,,,,,,,,,
,2023-12-04 23:18:39.472518,0.36225199699401855,0.02061690203845501,0.36225199699401855,99.0,0.0,,,,,,,,,
0.02,2023-12-04 23:19:22.077437,,,,,,,,,,,,,,
,2023-12-04 23:19:22.943796,0.45298001170158386,0.003521400038152933,0.45298001170158386,149.0,0.0,,,,,,,,,
0.02,2023-12-04 23:20:05.543940,,,,,,,,,,,,,,
,2023-12-04 23:20:06.412636,0.14015989005565643,0.0009646447142586112,0.14015989005565643,199.0,0.0,,,,,,,,,
0.02,2023-12-04 23:20:49.031752,,,,,,,,,,,,,,
,2023-12-04 23:20:49.898891,0.07890132069587708,0.0002789763966575265,0.07890132069587708,249.0,0.0,,,,,,,,,
0.02,2023-12-04 23:21:32.526877,,,,,,,,,,,,,,
,2023-12-04 23:21:33.392971,0.19435204565525055,0.0011880050878971815,0.19435204565525055,299.0,0.0,,,,,,,,,
0.02,2023-12-04 23:22:15.994479,,,,,,,,,,,,,,
,2023-12-04 23:22:16.860644,0.24698424339294434,0.0015111472457647324,0.24698424339294434,349.0,0.0,,,,,,,,,
0.02,2023-12-04 23:22:59.510713,,,,,,,,,,,,,,
,2023-12-04 23:23:00.375728,0.2861638367176056,0.0020928680896759033,0.2861638367176056,399.0,0.0,,,,,,,,,
,2023-12-04 23:23:29.947620,,,,,0.0,0.12546290457248688,0.0005838932120241225,0.12546290457248688,0.20618146657943726,0.0016247752355411649,0.20618146657943726,,,
,2023-12-04 23:23:29.955518,,,,,0.0,,,,,,,0.18451660871505737,0.002852577483281493,0.18451660871505737
0.02,2023-12-04 23:23:51.359132,,,,,,,,,,,,,,
,2023-12-04 23:23:52.227986,0.06414547562599182,0.0002250390243716538,0.06414547562599182,449.0,1.0,,,,,,,,,
0.02,2023-12-04 23:24:34.831735,,,,,,,,,,,,,,
,2023-12-04 23:24:37.320443,0.10178004950284958,0.0004114336334168911,0.10178004950284958,499.0,1.0,,,,,,,,,
0.02,2023-12-04 23:27:30.876954,,,,,,,,,,,,,,
,2023-12-04 23:27:31.739758,0.17566484212875366,0.0010502567747607827,0.17566484212875366,549.0,1.0,,,,,,,,,
0.02,2023-12-04 23:28:14.369290,,,,,,,,,,,,,,
,2023-12-04 23:28:15.238128,0.0800994336605072,0.00027510765357874334,0.0800994336605072,599.0,1.0,,,,,,,,,
0.02,2023-12-04 23:28:57.845247,,,,,,,,,,,,,,
,2023-12-04 23:28:58.710221,0.47269880771636963,0.006477025803178549,0.47269880771636963,649.0,1.0,,,,,,,,,
0.02,2023-12-04 23:29:41.332540,,,,,,,,,,,,,,
,2023-12-04 23:29:42.200491,0.17088493704795837,0.0006921259919181466,0.17088493704795837,699.0,1.0,,,,,,,,,
0.02,2023-12-04 23:30:24.815305,,,,,,,,,,,,,,
,2023-12-04 23:30:25.684953,0.057233650237321854,0.0002090988273266703,0.057233650237321854,749.0,1.0,,,,,,,,,
0.02,2023-12-04 23:31:08.298919,,,,,,,,,,,,,,
,2023-12-04 23:31:09.164547,0.07473544776439667,0.00026152291684411466,0.07473544776439667,799.0,1.0,,,,,,,,,
0.02,2023-12-04 23:31:51.841478,,,,,,,,,,,,,,
,2023-12-04 23:31:52.706591,0.40580466389656067,0.003250907873734832,0.40580466389656067,849.0,1.0,,,,,,,,,
,2023-12-04 23:31:57.885026,,,,,1.0,0.13771681487560272,0.0005192740936763585,0.13771681487560272,0.07997165620326996,0.00037217960925772786,0.07997165620326996,,,
,2023-12-04 23:31:57.892962,,,,,1.0,,,,,,,0.18262314796447754,0.0036606681533157825,0.18262314796447754
0.02,2023-12-04 23:32:41.019312,,,,,,,,,,,,,,
,2023-12-04 23:32:41.885704,0.11153756082057953,0.00040204651304520667,0.11153756082057953,899.0,2.0,,,,,,,,,
0.02,2023-12-04 23:33:24.502660,,,,,,,,,,,,,,
,2023-12-04 23:33:25.368092,0.12777934968471527,0.0004578199004754424,0.12777934968471527,949.0,2.0,,,,,,,,,
0.02,2023-12-04 23:34:07.994724,,,,,,,,,,,,,,
,2023-12-04 23:34:10.497784,0.28251007199287415,0.0019322745501995087,0.28251007199287415,999.0,2.0,,,,,,,,,
0.02,2023-12-04 23:37:00.025636,,,,,,,,,,,,,,
,2023-12-04 23:37:00.893513,0.27049461007118225,0.021573200821876526,0.27049461007118225,1049.0,2.0,,,,,,,,,
0.02,2023-12-04 23:37:43.510070,,,,,,,,,,,,,,
,2023-12-04 23:37:44.377782,0.059559352695941925,0.00021324408589862287,0.059559352695941925,1099.0,2.0,,,,,,,,,
0.02,2023-12-04 23:38:27.011061,,,,,,,,,,,,,,
,2023-12-04 23:38:27.875525,0.20929312705993652,0.0011469244491308928,0.20929312705993652,1149.0,2.0,,,,,,,,,
0.02,2023-12-04 23:39:10.495573,,,,,,,,,,,,,,
,2023-12-04 23:39:11.362269,0.32526564598083496,0.0016037884633988142,0.32526564598083496,1199.0,2.0,,,,,,,,,
0.02,2023-12-04 23:39:54.007779,,,,,,,,,,,,,,
,2023-12-04 23:39:54.875264,0.14522212743759155,0.0005129554774612188,0.14522212743759155,1249.0,2.0,,,,,,,,,
,2023-12-04 23:40:21.850742,,,,,2.0,0.15808703005313873,0.000808910233899951,0.15808703005313873,0.12232115864753723,0.0006119018071331084,0.12232115864753723,,,
,2023-12-04 23:40:21.859016,,,,,2.0,,,,,,,0.1782643347978592,0.0024785830173641443,0.1782643347978592
0.02,2023-12-04 23:40:43.255748,,,,,,,,,,,,,,
,2023-12-04 23:40:44.120454,0.17280711233615875,0.0006219448405317962,0.17280711233615875,1299.0,3.0,,,,,,,,,
0.02,2023-12-04 23:41:26.734244,,,,,,,,,,,,,,
,2023-12-04 23:41:27.598315,0.017048683017492294,7.370395178440958e-05,0.017048683017492294,1349.0,3.0,,,,,,,,,
0.02,2023-12-04 23:42:10.245278,,,,,,,,,,,,,,
,2023-12-04 23:42:11.110433,0.024267982691526413,0.00010113407915923744,0.024267982691526413,1399.0,3.0,,,,,,,,,
0.02,2023-12-04 23:42:53.742197,,,,,,,,,,,,,,
,2023-12-04 23:42:54.606336,0.3849222660064697,0.015042783692479134,0.3849222660064697,1449.0,3.0,,,,,,,,,
0.02,2023-12-04 23:43:37.214856,,,,,,,,,,,,,,
,2023-12-04 23:43:38.894294,0.20394602417945862,0.004275579936802387,0.20394602417945862,1499.0,3.0,,,,,,,,,
0.02,2023-12-04 23:46:28.559687,,,,,,,,,,,,,,
,2023-12-04 23:46:29.425147,0.09762589633464813,0.00033522798912599683,0.09762589633464813,1549.0,3.0,,,,,,,,,
0.02,2023-12-04 23:47:12.043512,,,,,,,,,,,,,,
,2023-12-04 23:47:12.910581,0.2380075454711914,0.0013258298859000206,0.2380075454711914,1599.0,3.0,,,,,,,,,
0.02,2023-12-04 23:47:55.534525,,,,,,,,,,,,,,
,2023-12-04 23:47:56.400239,0.1297314316034317,0.0004886899841949344,0.1297314316034317,1649.0,3.0,,,,,,,,,
0.02,2023-12-04 23:48:39.099581,,,,,,,,,,,,,,
,2023-12-04 23:48:39.959685,0.2984771728515625,0.0016375032719224691,0.2984771728515625,1699.0,3.0,,,,,,,,,
,2023-12-04 23:48:45.157572,,,,,3.0,0.10498423874378204,0.0005636500427499413,0.10498423874378204,0.26553305983543396,0.0019042582716792822,0.26553305983543396,,,
,2023-12-04 23:48:45.169171,,,,,3.0,,,,,,,0.1833169162273407,0.0034523503854870796,0.1833169162273407
0.02,2023-12-04 23:49:28.299371,,,,,,,,,,,,,,
,2023-12-04 23:49:29.165038,0.05815192312002182,0.00020917785877827555,0.05815192312002182,1749.0,4.0,,,,,,,,,
0.02,2023-12-04 23:50:11.786546,,,,,,,,,,,,,,
,2023-12-04 23:50:12.651822,0.05745237320661545,0.0002080202684737742,0.05745237320661545,1799.0,4.0,,,,,,,,,
0.02,2023-12-04 23:50:55.282337,,,,,,,,,,,,,,
