lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-12-05 21:37:51.565253,,,,,,,,,,,,,,
,2023-12-05 21:37:52.428941,0.03721233457326889,0.0001459925842937082,0.03721233457326889,49.0,0.0,,,,,,,,,
0.02,2023-12-05 21:38:35.062573,,,,,,,,,,,,,,
,2023-12-05 21:38:35.932880,0.4209679365158081,0.023546811193227768,0.4209679365158081,99.0,0.0,,,,,,,,,
0.02,2023-12-05 21:39:18.693065,,,,,,,,,,,,,,
,2023-12-05 21:39:19.563456,0.4538595974445343,0.003470791969448328,0.4538595974445343,149.0,0.0,,,,,,,,,
0.02,2023-12-05 21:40:02.333055,,,,,,,,,,,,,,
,2023-12-05 21:40:03.202966,0.14733020961284637,0.0010186088038608432,0.14733020961284637,199.0,0.0,,,,,,,,,
0.02,2023-12-05 21:40:45.995109,,,,,,,,,,,,,,
,2023-12-05 21:40:46.862732,0.06927908957004547,0.0002452656044624746,0.06927908957004547,249.0,0.0,,,,,,,,,
,2023-12-05 21:41:16.115108,,,,,0.0,0.2848736643791199,0.0020404818933457136,0.2848736643791199,0.10891205072402954,0.000694131595082581,0.10891205072402954,,,
,2023-12-05 21:41:16.123629,,,,,0.0,,,,,,,0.1939283013343811,0.0033073185477405787,0.1939283013343811
0.02,2023-12-05 21:41:37.639706,,,,,,,,,,,,,,
,2023-12-05 21:41:38.508510,0.019844120368361473,8.817047637421638e-05,0.019844120368361473,299.0,1.0,,,,,,,,,
0.02,2023-12-05 21:42:21.319189,,,,,,,,,,,,,,
,2023-12-05 21:42:22.191300,0.213395357131958,0.0008383329841308296,0.213395357131958,349.0,1.0,,,,,,,,,
0.02,2023-12-05 21:43:05.000061,,,,,,,,,,,,,,
,2023-12-05 21:43:05.873258,0.14790257811546326,0.0005315530579537153,0.14790257811546326,399.0,1.0,,,,,,,,,
0.02,2023-12-05 21:43:48.698224,,,,,,,,,,,,,,
,2023-12-05 21:43:49.573530,0.1579195261001587,0.0009096791036427021,0.1579195261001587,449.0,1.0,,,,,,,,,
0.02,2023-12-05 21:44:32.406166,,,,,,,,,,,,,,
,2023-12-05 21:44:34.941002,0.13586249947547913,0.0006205095560289919,0.13586249947547913,499.0,1.0,,,,,,,,,
0.02,2023-12-05 21:47:29.140696,,,,,,,,,,,,,,
,2023-12-05 21:47:30.008679,0.22143206000328064,0.0009482989553362131,0.22143206000328064,549.0,1.0,,,,,,,,,
,2023-12-05 21:47:33.627212,,,,,1.0,0.13319052755832672,0.0022107150871306658,0.13319052755832672,0.20828458666801453,0.0013178534572944045,0.20828458666801453,,,
,2023-12-05 21:47:33.635977,,,,,1.0,,,,,,,0.19232161343097687,0.0026840928476303816,0.19232161343097687
0.02,2023-12-05 21:48:17.043971,,,,,,,,,,,,,,
,2023-12-05 21:48:17.912148,0.26062214374542236,0.002092808485031128,0.26062214374542236,599.0,2.0,,,,,,,,,
0.02,2023-12-05 21:49:00.766188,,,,,,,,,,,,,,
,2023-12-05 21:49:01.639578,0.30438941717147827,0.00201779929921031,0.30438941717147827,649.0,2.0,,,,,,,,,
0.02,2023-12-05 21:49:44.453206,,,,,,,,,,,,,,
,2023-12-05 21:49:45.327482,0.11117395758628845,0.0003735359641723335,0.11117395758628845,699.0,2.0,,,,,,,,,
0.02,2023-12-05 21:50:28.208227,,,,,,,,,,,,,,
,2023-12-05 21:50:29.080591,0.23309150338172913,0.0010625687427818775,0.23309150338172913,749.0,2.0,,,,,,,,,
0.02,2023-12-05 21:51:11.935851,,,,,,,,,,,,,,
,2023-12-05 21:51:12.809420,0.1533113569021225,0.0006474785623140633,0.1533113569021225,799.0,2.0,,,,,,,,,
,2023-12-05 21:51:38.352849,,,,,2.0,0.1864214539527893,0.0010522441007196903,0.1864214539527893,0.20981229841709137,0.0015039423014968634,0.20981229841709137,,,
,2023-12-05 21:51:38.361638,,,,,2.0,,,,,,,0.19351069629192352,0.0043169488199055195,0.19351069629192352
0.02,2023-12-05 21:51:59.926451,,,,,,,,,,,,,,
,2023-12-05 21:52:00.797673,0.07300134003162384,0.0002528165059629828,0.07300134003162384,849.0,3.0,,,,,,,,,
0.02,2023-12-05 21:52:43.666283,,,,,,,,,,,,,,
,2023-12-05 21:52:44.534252,0.22756780683994293,0.0010013706050813198,0.22756780683994293,899.0,3.0,,,,,,,,,
0.02,2023-12-05 21:53:27.386828,,,,,,,,,,,,,,
,2023-12-05 21:53:28.261401,0.28390800952911377,0.0032146768644452095,0.28390800952911377,949.0,3.0,,,,,,,,,
0.02,2023-12-05 21:54:11.134022,,,,,,,,,,,,,,
,2023-12-05 21:54:12.853380,0.2030985951423645,0.0008647878421470523,0.2030985951423645,999.0,3.0,,,,,,,,,
0.02,2023-12-05 21:57:03.295489,,,,,,,,,,,,,,
,2023-12-05 21:57:04.165649,0.12412697076797485,0.0004193375934846699,0.12412697076797485,1049.0,3.0,,,,,,,,,
0.02,2023-12-05 21:57:47.098854,,,,,,,,,,,,,,
,2023-12-05 21:57:47.966909,0.15256257355213165,0.0006552226841449738,0.15256257355213165,1099.0,3.0,,,,,,,,,
,2023-12-05 21:57:51.596160,,,,,3.0,0.23851095139980316,0.011075062677264214,0.23851095139980316,0.22332048416137695,0.0020405426621437073,0.22332048416137695,,,
,2023-12-05 21:57:51.608153,,,,,3.0,,,,,,,0.18136253952980042,0.0024205998051911592,0.18136253952980042
0.02,2023-12-05 21:58:35.046595,,,,,,,,,,,,,,
,2023-12-05 21:58:35.920436,0.10393725335597992,0.00036135560367256403,0.10393725335597992,1149.0,4.0,,,,,,,,,
0.02,2023-12-05 21:59:18.762505,,,,,,,,,,,,,,
,2023-12-05 21:59:19.636738,0.13721516728401184,0.00046418013516813517,0.13721516728401184,1199.0,4.0,,,,,,,,,
0.02,2023-12-05 22:00:02.498501,,,,,,,,,,,,,,
,2023-12-05 22:00:03.369796,0.09842227399349213,0.00036908636684529483,0.09842227399349213,1249.0,4.0,,,,,,,,,
0.02,2023-12-05 22:00:46.224458,,,,,,,,,,,,,,
,2023-12-05 22:00:47.098210,0.17487816512584686,0.0009610971319489181,0.17487816512584686,1299.0,4.0,,,,,,,,,
0.02,2023-12-05 22:01:29.934999,,,,,,,,,,,,,,
,2023-12-05 22:01:30.806073,0.12134157121181488,0.0004070093564223498,0.12134157121181488,1349.0,4.0,,,,,,,,,
,2023-12-05 22:01:56.362046,,,,,4.0,0.2541100084781647,0.04237945005297661,0.2541100084781647,0.16914749145507812,0.0008293282589875162,0.16914749145507812,,,
,2023-12-05 22:01:56.371094,,,,,4.0,,,,,,,0.1864946335554123,0.002596078673377633,0.1864946335554123
0.02,2023-12-05 22:02:17.994753,,,,,,,,,,,,,,
,2023-12-05 22:02:18.871333,0.024362802505493164,9.956557187251747e-05,0.024362802505493164,1399.0,5.0,,,,,,,,,
0.02,2023-12-05 22:03:01.751503,,,,,,,,,,,,,,
,2023-12-05 22:03:02.624702,0.38745951652526855,0.016081999987363815,0.38745951652526855,1449.0,5.0,,,,,,,,,
0.02,2023-12-05 22:03:45.479953,,,,,,,,,,,,,,
,2023-12-05 22:03:47.187859,0.24568575620651245,0.0053172642365098,0.24568575620651245,1499.0,5.0,,,,,,,,,
0.02,2023-12-05 22:06:37.318629,,,,,,,,,,,,,,
,2023-12-05 22:06:38.190982,0.099146269261837,0.0003406240721233189,0.099146269261837,1549.0,5.0,,,,,,,,,
0.02,2023-12-05 22:07:21.010203,,,,,,,,,,,,,,
,2023-12-05 22:07:21.884574,0.2531406283378601,0.0013833577977493405,0.2531406283378601,1599.0,5.0,,,,,,,,,
0.02,2023-12-05 22:08:04.786850,,,,,,,,,,,,,,
,2023-12-05 22:08:05.652676,0.11031031608581543,0.0004149065352976322,0.11031031608581543,1649.0,5.0,,,,,,,,,
,2023-12-05 22:08:09.273878,,,,,5.0,0.17242960631847382,0.0017679515294730663,0.17242960631847382,0.2409459501504898,0.0023188036866486073,0.2409459501504898,,,
,2023-12-05 22:08:09.283400,,,,,5.0,,,,,,,0.18575452268123627,0.003047302598133683,0.18575452268123627
0.02,2023-12-05 22:08:52.629524,,,,,,,,,,,,,,
,2023-12-05 22:08:53.502210,0.34767162799835205,0.0044029164128005505,0.34767162799835205,1699.0,6.0,,,,,,,,,
0.02,2023-12-05 22:09:36.331114,,,,,,,,,,,,,,
,2023-12-05 22:09:37.203296,0.11146348714828491,0.0003848904452752322,0.11146348714828491,1749.0,6.0,,,,,,,,,
0.02,2023-12-05 22:10:20.051838,,,,,,,,,,,,,,
